SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Biotechnology and Synthetic Biology,26.0202,Biochemistry,All award levels (total),9556,4826,4730,8776,8776,4302,780,352,428
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Associate's degree,4,2,2,4,4,2,0,0,0
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Bachelor's degree,8740,4425,4315,8248,8248,4044,492,221,271
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Master's degree,314,152,162,223,223,104,91,33,58
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Doctor's degree – research/scholarship,492,242,250,297,297,151,195,96,99
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Postbaccalaureate certificate,4,3,1,3,3,1,1,1,0
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Post-master's certificate,2,2,0,1,1,0,1,1,0
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,All award levels (total),3365,1590,1775,3089,3089,1634,276,135,141
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Bachelor's degree,2691,1272,1419,2590,2590,1368,101,50,51
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Master's degree,209,101,108,142,142,70,67,29,38
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Doctor's degree – research/scholarship,454,211,243,348,348,193,106,56,50
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Post-master's certificate,11,6,5,9,9,3,2,0,2
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",All award levels (total),2740,1239,1501,2610,2610,1422,130,51,79
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Associate's degree,10,4,6,10,10,6,0,0,0
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Bachelor's degree,2310,1060,1250,2252,2252,1218,58,26,32
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Master's degree,215,88,127,185,185,109,30,12,18
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Doctor's degree – research/scholarship,199,85,114,160,160,86,39,11,28
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Post-master's certificate,6,2,4,3,3,3,3,2,1
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",All award levels (total),524,211,313,458,458,282,66,35,31
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Bachelor's degree,316,107,209,306,306,202,10,3,7
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Master's degree,41,23,18,30,30,12,11,5,6
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Doctor's degree – research/scholarship,154,74,80,111,111,63,43,26,17
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Post-master's certificate,13,7,6,11,11,5,2,1,1
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,All award levels (total),254,120,134,181,181,98,73,37,36
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Bachelor's degree,85,42,43,83,83,41,2,0,2
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Master's degree,124,55,69,72,72,45,52,28,24
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Doctor's degree – research/scholarship,45,23,22,26,26,12,19,9,10
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,All award levels (total),688,385,303,497,497,211,191,99,92
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Associate's degree,10,0,10,10,10,10,0,0,0
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Bachelor's degree,192,107,85,174,174,77,18,10,8
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Master's degree,315,175,140,200,200,74,115,49,66
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Doctor's degree – research/scholarship,136,87,49,83,83,34,53,38,15
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Postbaccalaureate certificate,30,14,16,26,26,13,4,1,3
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Post-master's certificate,5,2,3,4,4,3,1,1,0
Biotechnology and Synthetic Biology,26.1201,Biotechnology,All award levels (total),2605,1185,1420,2163,2163,1139,442,161,281
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postsecondary certificate < 60 semester credit hours,42,12,30,42,42,30,0,0,0
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postsecondary certificate > 60 semester credit hours,3,1,2,3,3,2,0,0,0
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Associate's degree,340,154,186,330,330,178,10,2,8
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Bachelor's degree,837,412,425,787,787,397,50,22,28
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Master's degree,1339,585,754,965,965,513,374,133,241
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Doctor's degree – research/scholarship,6,3,3,2,2,2,4,3,1
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postbaccalaureate certificate,36,17,19,32,32,16,4,1,3
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Post-master's certificate,2,1,1,2,2,1,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,All award levels (total),279,103,176,275,275,174,4,2,2
