SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Bachelor's degree,944,463,481,891,891,451,53,23,30
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Master's degree,1469,591,878,1079,1079,610,390,122,268
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Doctor's degree – research/scholarship,17,6,11,9,9,7,8,4,4
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postbaccalaureate certificate,64,25,39,45,45,24,19,4,15
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Post-master's certificate,1,0,1,1,1,1,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,All award levels (total),324,124,200,309,309,192,15,7,8
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Bachelor's degree,211,81,130,209,209,128,2,0,2
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Master's degree,94,32,62,86,86,58,8,4,4
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Doctor's degree – research/scholarship,13,8,5,8,8,3,5,3,2
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Postbaccalaureate certificate,6,3,3,6,6,3,0,0,0
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,All award levels (total),480,181,299,449,449,285,31,17,14
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Postsecondary certificate < 60 semester credit hours,91,29,62,87,87,59,4,1,3
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Associate's degree,321,122,199,307,307,198,14,13,1
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Bachelor's degree,57,23,34,46,46,25,11,2,9
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,Postbaccalaureate certificate,11,7,4,9,9,3,2,1,1
Cryptography,11.0401,Information Science/Studies,All award levels (total),17470,11808,5662,13724,13724,3994,3746,2078,1668
Cryptography,11.0401,Information Science/Studies,Postsecondary certificate < 60 semester credit hours,227,188,39,224,224,39,3,3,0
Cryptography,11.0401,Information Science/Studies,Postsecondary certificate > 60 semester credit hours,147,112,35,143,143,34,4,3,1
Cryptography,11.0401,Information Science/Studies,Associate's degree,906,718,188,890,890,182,16,10,6
Cryptography,11.0401,Information Science/Studies,Bachelor's degree,9118,6704,2414,8519,8519,2196,599,381,218
Cryptography,11.0401,Information Science/Studies,Master's degree,6516,3757,2759,3507,3507,1371,3009,1621,1388
Cryptography,11.0401,Information Science/Studies,Doctor's degree – research/scholarship,166,94,72,104,104,48,62,38,24
Cryptography,11.0401,Information Science/Studies,Postbaccalaureate certificate,372,231,141,319,319,110,53,22,31
Cryptography,11.0401,Information Science/Studies,Post-master's certificate,18,4,14,18,18,14,0,0,0
Cryptography,11.0501,Computer Systems Analysis/Analyst,All award levels (total),2089,1509,580,1529,1529,361,560,341,219
Cryptography,11.0501,Computer Systems Analysis/Analyst,Postsecondary certificate < 60 semester credit hours,109,99,10,109,109,10,0,0,0
Cryptography,11.0501,Computer Systems Analysis/Analyst,Associate's degree,68,48,20,66,66,19,2,1,1
Cryptography,11.0501,Computer Systems Analysis/Analyst,Bachelor's degree,1140,878,262,1048,1048,233,92,63,29
Cryptography,11.0501,Computer Systems Analysis/Analyst,Master's degree,613,384,229,227,227,71,386,228,158
Cryptography,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,4,1,3,1,1,1,3,1,2
Cryptography,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,155,99,56,78,78,27,77,48,29
