SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Master's degree,197,122,75,124,124,52,73,50,23
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Doctor's degree – research/scholarship,128,86,42,52,52,22,76,56,20
Biotechnology and Synthetic Biology,14.0301,Agricultural Engineering,Postbaccalaureate certificate,7,3,4,4,4,4,3,3,0
Biotechnology and Synthetic Biology,26.0202,Biochemistry,All award levels (total),10322,4634,5688,9545,9545,5228,777,317,460
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Associate's degree,11,2,9,10,10,9,1,1,0
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Bachelor's degree,9607,4287,5320,9025,9025,4973,582,235,347
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Master's degree,307,145,162,240,240,122,67,27,40
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Doctor's degree – research/scholarship,393,198,195,266,266,122,127,54,73
Biotechnology and Synthetic Biology,26.0202,Biochemistry,Postbaccalaureate certificate,4,2,2,4,4,2,0,0,0
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,All award levels (total),4310,1643,2667,3973,3973,2463,337,133,204
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Associate's degree,5,0,5,5,5,5,0,0,0
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Bachelor's degree,3609,1322,2287,3441,3441,2177,168,58,110
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Master's degree,242,101,141,182,182,103,60,22,38
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Doctor's degree – research/scholarship,423,204,219,321,321,167,102,50,52
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Postbaccalaureate certificate,12,5,7,10,10,7,2,2,0
Biotechnology and Synthetic Biology,26.0406,Cell/Cellular and Molecular Biology,Post-master's certificate,19,11,8,14,14,4,5,1,4
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",All award levels (total),2910,1117,1793,2788,2788,1721,122,50,72
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Associate's degree,9,3,6,9,9,6,0,0,0
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Bachelor's degree,2505,946,1559,2450,2450,1527,55,23,32
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Master's degree,177,71,106,157,157,93,20,7,13
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Doctor's degree – research/scholarship,212,95,117,165,165,90,47,20,27
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Postbaccalaureate certificate,2,0,2,2,2,2,0,0,0
Biotechnology and Synthetic Biology,26.0502,"Microbiology, General",Post-master's certificate,5,2,3,5,5,3,0,0,0
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",All award levels (total),649,217,432,565,565,387,84,39,45
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Bachelor's degree,445,130,315,416,416,300,29,14,15
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Master's degree,67,30,37,55,55,32,12,7,5
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Doctor's degree – research/scholarship,132,56,76,91,91,53,41,18,23
Biotechnology and Synthetic Biology,26.0801,"Genetics, General",Post-master's certificate,5,1,4,3,3,2,2,0,2
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,All award levels (total),200,75,125,141,141,87,59,21,38
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Bachelor's degree,58,22,36,54,54,33,4,1,3
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Master's degree,112,38,74,66,66,43,46,15,31
Biotechnology and Synthetic Biology,26.1007,Pharmacology and Toxicology,Doctor's degree – research/scholarship,30,15,15,21,21,11,9,5,4
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,All award levels (total),1155,554,601,855,855,436,300,135,165
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Bachelor's degree,354,176,178,319,319,157,35,14,21
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Master's degree,612,271,341,408,408,223,204,86,118
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Doctor's degree – research/scholarship,146,85,61,95,95,38,51,28,23
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Postbaccalaureate certificate,39,20,19,29,29,16,10,7,3
Biotechnology and Synthetic Biology,26.1103,Bioinformatics,Post-master's certificate,4,2,2,4,4,2,0,0,0
Biotechnology and Synthetic Biology,26.1201,Biotechnology,All award levels (total),2844,1171,1673,2340,2340,1333,504,164,340
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postsecondary certificate < 60 semester credit hours,59,25,34,58,58,33,1,0,1
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Associate's degree,196,75,121,186,186,113,10,2,8
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Bachelor's degree,1022,452,570,940,940,526,82,38,44
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Master's degree,1461,580,881,1058,1058,600,403,122,281
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Doctor's degree – research/scholarship,9,3,6,8,8,6,1,1,0
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Postbaccalaureate certificate,95,35,60,88,88,54,7,1,6
Biotechnology and Synthetic Biology,26.1201,Biotechnology,Post-master's certificate,2,1,1,2,2,1,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,All award levels (total),304,102,202,296,296,197,8,3,5
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Bachelor's degree,200,68,132,200,200,132,0,0,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Master's degree,91,25,66,85,85,61,6,1,5
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Doctor's degree – research/scholarship,9,7,2,7,7,2,2,2,0
Biotechnology and Synthetic Biology,26.1307,Conservation Biology,Postbaccalaureate certificate,4,2,2,4,4,2,0,0,0
Biotechnology and Synthetic Biology,41.0101,Biology/Biotechnology Technology/Technician,All award levels (total),480,166,314,458,458,297,22,5,17
